,CH3
Second,Volt
-1.08400e+01,-3.05e-01, 
-1.08371e+01,-3.05e-01, 
-1.08341e+01,-3.05e-01, 
-1.08312e+01,-3.05e-01, 
-1.08283e+01,-3.05e-01, 
-1.08254e+01,-3.05e-01, 
-1.08224e+01,-3.05e-01, 
-1.08195e+01,-3.05e-01, 
-1.08166e+01,-3.06e-01, 
-1.08136e+01,-3.06e-01, 
-1.08107e+01,-3.06e-01, 
-1.08078e+01,-3.06e-01, 
-1.08048e+01,-3.06e-01, 
-1.08019e+01,-3.06e-01, 
-1.07990e+01,-3.06e-01, 
-1.07961e+01,-3.06e-01, 
-1.07931e+01,-3.06e-01, 
-1.07902e+01,-3.06e-01, 
-1.07873e+01,-3.06e-01, 
-1.07843e+01,-3.06e-01, 
-1.07814e+01,-3.06e-01, 
-1.07785e+01,-3.06e-01, 
-1.07755e+01,-3.07e-01, 
-1.07726e+01,-3.07e-01, 
-1.07697e+01,-3.07e-01, 
-1.07668e+01,-3.06e-01, 
-1.07638e+01,-3.07e-01, 
-1.07609e+01,-3.07e-01, 
-1.07580e+01,-3.06e-01, 
-1.07550e+01,-3.06e-01, 
-1.07521e+01,-3.06e-01, 
-1.07492e+01,-3.05e-01, 
-1.07463e+01,-3.06e-01, 
-1.07433e+01,-3.05e-01, 
-1.07404e+01,-3.06e-01, 
-1.07375e+01,-3.06e-01, 
-1.07345e+01,-3.06e-01, 
-1.07316e+01,-3.08e-01, 
-1.07287e+01,-3.08e-01, 
-1.07257e+01,-3.08e-01, 
-1.07228e+01,-3.09e-01, 
-1.07199e+01,-3.08e-01, 
-1.07170e+01,-3.07e-01, 
-1.07140e+01,-3.07e-01, 
-1.07111e+01,-3.05e-01, 
-1.07082e+01,-3.06e-01, 
-1.07052e+01,-3.04e-01, 
-1.07023e+01,-3.05e-01, 
-1.06994e+01,-3.06e-01, 
-1.06964e+01,-3.06e-01, 
-1.06935e+01,-3.07e-01, 
-1.06906e+01,-3.07e-01, 
-1.06877e+01,-3.08e-01, 
-1.06847e+01,-3.09e-01, 
-1.06818e+01,-3.08e-01, 
-1.06789e+01,-3.07e-01, 
-1.06759e+01,-3.06e-01, 
-1.06730e+01,-3.06e-01, 
-1.06701e+01,-3.05e-01, 
-1.06671e+01,-3.05e-01, 
-1.06642e+01,-3.05e-01, 
-1.06613e+01,-3.06e-01, 
-1.06584e+01,-3.07e-01, 
-1.06554e+01,-3.08e-01, 
-1.06525e+01,-3.09e-01, 
-1.06496e+01,-3.10e-01, 
-1.06466e+01,-3.09e-01, 
-1.06437e+01,-3.08e-01, 
-1.06408e+01,-3.07e-01, 
-1.06379e+01,-3.06e-01, 
-1.06349e+01,-3.06e-01, 
-1.06320e+01,-3.05e-01, 
-1.06291e+01,-3.05e-01, 
-1.06261e+01,-3.06e-01, 
-1.06232e+01,-3.06e-01, 
-1.06203e+01,-3.07e-01, 
-1.06173e+01,-3.07e-01, 
-1.06144e+01,-3.07e-01, 
-1.06115e+01,-3.08e-01, 
-1.06086e+01,-3.07e-01, 
-1.06056e+01,-3.07e-01, 
-1.06027e+01,-3.06e-01, 
-1.05998e+01,-3.05e-01, 
-1.05968e+01,-3.06e-01, 
-1.05939e+01,-3.06e-01, 
-1.05910e+01,-3.06e-01, 
-1.05880e+01,-3.07e-01, 
-1.05851e+01,-3.08e-01, 
-1.05822e+01,-3.09e-01, 
-1.05793e+01,-3.10e-01, 
-1.05763e+01,-3.10e-01, 
-1.05734e+01,-3.09e-01, 
-1.05705e+01,-3.07e-01, 
-1.05675e+01,-3.06e-01, 
-1.05646e+01,-3.05e-01, 
-1.05617e+01,-3.05e-01, 
-1.05588e+01,-3.03e-01, 
-1.05558e+01,-3.03e-01, 
-1.05529e+01,-3.04e-01, 
-1.05500e+01,-3.06e-01, 
-1.05470e+01,-3.07e-01, 
-1.05441e+01,-3.08e-01, 
-1.05412e+01,-3.10e-01, 
-1.05382e+01,-3.10e-01, 
-1.05353e+01,-3.10e-01, 
-1.05324e+01,-3.08e-01, 
-1.05295e+01,-3.07e-01, 
-1.05265e+01,-3.06e-01, 
-1.05236e+01,-3.06e-01, 
-1.05207e+01,-3.06e-01, 
-1.05177e+01,-3.06e-01, 
-1.05148e+01,-3.06e-01, 
-1.05119e+01,-3.07e-01, 
-1.05089e+01,-3.07e-01, 
-1.05060e+01,-3.08e-01, 
-1.05031e+01,-3.09e-01, 
-1.05002e+01,-3.08e-01, 
-1.04972e+01,-3.08e-01, 
-1.04943e+01,-3.07e-01, 
-1.04914e+01,-3.07e-01, 
-1.04884e+01,-3.07e-01, 
-1.04855e+01,-3.06e-01, 
-1.04826e+01,-3.06e-01, 
-1.04796e+01,-3.06e-01, 
-1.04767e+01,-3.07e-01, 
-1.04738e+01,-3.07e-01, 
-1.04709e+01,-3.07e-01, 
-1.04679e+01,-3.07e-01, 
-1.04650e+01,-3.07e-01, 
-1.04621e+01,-3.07e-01, 
-1.04591e+01,-3.07e-01, 
-1.04562e+01,-3.08e-01, 
-1.04533e+01,-3.08e-01, 
-1.04504e+01,-3.07e-01, 
-1.04474e+01,-3.07e-01, 
-1.04445e+01,-3.07e-01, 
-1.04416e+01,-3.08e-01, 
-1.04386e+01,-3.07e-01, 
-1.04357e+01,-3.08e-01, 
-1.04328e+01,-3.07e-01, 
-1.04298e+01,-3.07e-01, 
-1.04269e+01,-3.07e-01, 
-1.04240e+01,-3.07e-01, 
-1.04211e+01,-3.07e-01, 
-1.04181e+01,-3.07e-01, 
-1.04152e+01,-3.07e-01, 
-1.04123e+01,-3.07e-01, 
-1.04093e+01,-3.07e-01, 
-1.04064e+01,-3.07e-01, 
-1.04035e+01,-3.06e-01, 
-1.04005e+01,-3.06e-01, 
-1.03976e+01,-3.07e-01, 
-1.03947e+01,-3.07e-01, 
-1.03918e+01,-3.07e-01, 
-1.03888e+01,-3.09e-01, 
-1.03859e+01,-3.10e-01, 
-1.03830e+01,-3.10e-01, 
-1.03800e+01,-3.10e-01, 
-1.03771e+01,-3.10e-01, 
-1.03742e+01,-3.09e-01, 
-1.03713e+01,-3.07e-01, 
-1.03683e+01,-3.06e-01, 
-1.03654e+01,-3.06e-01, 
-1.03625e+01,-3.06e-01, 
-1.03595e+01,-3.06e-01, 
-1.03566e+01,-3.07e-01, 
-1.03537e+01,-3.07e-01, 
-1.03507e+01,-3.09e-01, 
-1.03478e+01,-3.10e-01, 
-1.03449e+01,-3.10e-01, 
-1.03420e+01,-3.10e-01, 
-1.03390e+01,-3.10e-01, 
-1.03361e+01,-3.07e-01, 
-1.03332e+01,-3.07e-01, 
-1.03302e+01,-3.06e-01, 
-1.03273e+01,-3.06e-01, 
-1.03244e+01,-3.06e-01, 
-1.03214e+01,-3.07e-01, 
-1.03185e+01,-3.09e-01, 
-1.03156e+01,-3.10e-01, 
-1.03127e+01,-3.11e-01, 
-1.03097e+01,-3.12e-01, 
-1.03068e+01,-3.10e-01, 
-1.03039e+01,-3.10e-01, 
-1.03009e+01,-3.08e-01, 
-1.02980e+01,-3.07e-01, 
-1.02951e+01,-3.06e-01, 
-1.02921e+01,-3.06e-01, 
-1.02892e+01,-3.06e-01, 
-1.02863e+01,-3.07e-01, 
-1.02834e+01,-3.08e-01, 
-1.02804e+01,-3.10e-01, 
-1.02775e+01,-3.10e-01, 
-1.02746e+01,-3.10e-01, 
-1.02716e+01,-3.10e-01, 
-1.02687e+01,-3.10e-01, 
-1.02658e+01,-3.08e-01, 
-1.02629e+01,-3.07e-01, 
-1.02599e+01,-3.07e-01, 
-1.02570e+01,-3.07e-01, 
-1.02541e+01,-3.07e-01, 
-1.02511e+01,-3.08e-01, 
-1.02482e+01,-3.10e-01, 
-1.02453e+01,-3.10e-01, 
-1.02423e+01,-3.10e-01, 
-1.02394e+01,-3.10e-01, 
-1.02365e+01,-3.10e-01, 
-1.02336e+01,-3.09e-01, 
-1.02306e+01,-3.07e-01, 
-1.02277e+01,-3.07e-01, 
-1.02248e+01,-3.07e-01, 
-1.02218e+01,-3.07e-01, 
-1.02189e+01,-3.07e-01, 
-1.02160e+01,-3.08e-01, 
-1.02130e+01,-3.09e-01, 
-1.02101e+01,-3.10e-01, 
-1.02072e+01,-3.10e-01, 
-1.02043e+01,-3.10e-01, 
-1.02013e+01,-3.10e-01, 
-1.01984e+01,-3.10e-01, 
-1.01955e+01,-3.09e-01, 
-1.01925e+01,-3.09e-01, 
-1.01896e+01,-3.08e-01, 
-1.01867e+01,-3.07e-01, 
-1.01838e+01,-3.08e-01, 
-1.01808e+01,-3.08e-01, 
-1.01779e+01,-3.09e-01, 
-1.01750e+01,-3.09e-01, 
-1.01720e+01,-3.10e-01, 
-1.01691e+01,-3.10e-01, 
-1.01662e+01,-3.10e-01, 
-1.01632e+01,-3.10e-01, 
-1.01603e+01,-3.09e-01, 
-1.01574e+01,-3.09e-01, 
-1.01545e+01,-3.09e-01, 
-1.01515e+01,-3.09e-01, 
-1.01486e+01,-3.09e-01, 
-1.01457e+01,-3.08e-01, 
-1.01427e+01,-3.08e-01, 
-1.01398e+01,-3.09e-01, 
-1.01369e+01,-3.10e-01, 
-1.01339e+01,-3.08e-01, 
-1.01310e+01,-3.08e-01, 
-1.01281e+01,-3.09e-01, 
-1.01252e+01,-3.09e-01, 
-1.01222e+01,-3.10e-01, 
-1.01193e+01,-3.10e-01, 
-1.01164e+01,-3.10e-01, 
-1.01134e+01,-3.10e-01, 
-1.01105e+01,-3.10e-01, 
-1.01076e+01,-3.10e-01, 
-1.01046e+01,-3.10e-01, 
-1.01017e+01,-3.09e-01, 
-1.00988e+01,-3.09e-01, 
-1.00959e+01,-3.09e-01, 
-1.00929e+01,-3.08e-01, 
-1.00900e+01,-3.09e-01, 
-1.00871e+01,-3.10e-01, 
-1.00841e+01,-3.09e-01, 
-1.00812e+01,-3.09e-01, 
-1.00783e+01,-3.09e-01, 
-1.00754e+01,-3.09e-01, 
-1.00724e+01,-3.09e-01, 
-1.00695e+01,-3.10e-01, 
-1.00666e+01,-3.09e-01, 
