,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-4.00001e-02,-9.08e+00,-3.24e-01,-3.02e-01,-9.48e+00, 
-3.97071e-02,-9.08e+00,-3.24e-01,-3.02e-01,-9.48e+00, 
-3.94142e-02,-9.08e+00,-3.24e-01,-3.02e-01,-9.48e+00, 
-3.91212e-02,-9.08e+00,-3.24e-01,-3.02e-01,-9.48e+00, 
-3.88283e-02,-9.08e+00,-3.24e-01,-3.02e-01,-9.48e+00, 
-3.85352e-02,-9.08e+00,-3.24e-01,-3.02e-01,-9.48e+00, 
-3.82422e-02,-9.12e+00,-3.08e-01,-3.05e-01,-9.44e+00, 
-3.79493e-02,-9.12e+00,-2.88e-01,-3.06e-01,-9.40e+00, 
-3.76563e-02,-9.12e+00,-2.92e-01,-3.08e-01,-9.44e+00, 
-3.73634e-02,-9.08e+00,-3.16e-01,-3.10e-01,-9.44e+00, 
-3.70704e-02,-9.12e+00,-3.24e-01,-3.11e-01,-9.48e+00, 
-3.67774e-02,-9.12e+00,-3.28e-01,-3.14e-01,-9.48e+00, 
-3.64845e-02,-9.12e+00,-3.32e-01,-3.14e-01,-9.48e+00, 
-3.61915e-02,-9.12e+00,-3.36e-01,-3.14e-01,-9.48e+00, 
-3.58986e-02,-9.12e+00,-3.32e-01,-3.14e-01,-9.48e+00, 
-3.56055e-02,-9.12e+00,-3.36e-01,-3.14e-01,-9.48e+00, 
-3.53125e-02,-9.12e+00,-3.36e-01,-3.14e-01,-9.48e+00, 
-3.50196e-02,-9.12e+00,-3.36e-01,-3.14e-01,-9.48e+00, 
-3.47266e-02,-9.12e+00,-3.32e-01,-3.12e-01,-9.48e+00, 
-3.44337e-02,-9.12e+00,-3.20e-01,-3.10e-01,-9.48e+00, 
-3.41407e-02,-9.12e+00,-3.36e-01,-3.10e-01,-9.48e+00, 
-3.38477e-02,-9.08e+00,-3.36e-01,-3.07e-01,-9.48e+00, 
-3.35548e-02,-9.12e+00,-3.36e-01,-3.06e-01,-9.48e+00, 
-3.32618e-02,-9.12e+00,-3.40e-01,-3.05e-01,-9.48e+00, 
-3.29689e-02,-9.12e+00,-3.40e-01,-3.05e-01,-9.48e+00, 
-3.26759e-02,-9.12e+00,-3.40e-01,-3.03e-01,-9.48e+00, 
-3.23828e-02,-9.12e+00,-3.44e-01,-3.03e-01,-9.48e+00, 
-3.20899e-02,-9.12e+00,-3.44e-01,-3.02e-01,-9.48e+00, 
-3.17969e-02,-9.12e+00,-3.44e-01,-3.02e-01,-9.48e+00, 
-3.15040e-02,-9.12e+00,-3.44e-01,-3.02e-01,-9.48e+00, 
