,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-2.00000e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99927e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99854e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99780e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99707e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99634e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99561e+00,-9.73e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99487e+00,-9.73e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99414e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99341e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99268e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.99194e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.99121e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.99048e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.98975e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.98901e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98828e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98755e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98682e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98608e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98535e+00,-9.78e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.98462e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98389e+00,-9.75e+00,1.60e-02,-3.21e-01,-9.74e+00, 
-1.98315e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98242e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.98169e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.76e+00, 
-1.98096e+00,-9.73e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.98022e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97949e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97876e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97803e+00,-9.78e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97729e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97656e+00,-9.78e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97583e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97510e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.97437e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.97363e+00,-9.73e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.97290e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.97217e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.97144e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.97070e+00,-9.78e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96997e+00,-9.75e+00,1.40e-02,-3.21e-01,-9.74e+00, 
-1.96924e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96851e+00,-9.78e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96777e+00,-9.78e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.96704e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96631e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96558e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.96484e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.96411e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.96338e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.96265e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96191e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.76e+00, 
-1.96118e+00,-9.73e+00,1.40e-02,-3.20e-01,-9.74e+00, 
-1.96045e+00,-9.75e+00,1.40e-02,-3.20e-01,-9.76e+00, 
