,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-3.00000e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99927e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99854e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99780e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99707e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99634e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99561e+00,-9.55e+00,3.20e-02,-2.94e-01,-9.55e+00, 
-2.99487e+00,-9.55e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99414e+00,-9.55e+00,3.20e-02,-2.94e-01,-9.52e+00, 
-2.99341e+00,-9.60e+00,3.20e-02,-2.94e-01,-9.55e+00, 
-2.99268e+00,-9.55e+00,3.20e-02,-2.93e-01,-9.55e+00, 
-2.99194e+00,-9.57e+00,3.20e-02,-2.93e-01,-9.55e+00, 
-2.99121e+00,-9.57e+00,3.40e-02,-2.94e-01,-9.55e+00, 
-2.99048e+00,-9.57e+00,3.40e-02,-2.93e-01,-9.52e+00, 
-2.98975e+00,-9.57e+00,3.20e-02,-2.92e-01,-9.55e+00, 
-2.98901e+00,-9.57e+00,3.20e-02,-2.92e-01,-9.55e+00, 
-2.98828e+00,-9.57e+00,3.20e-02,-2.92e-01,-9.52e+00, 
-2.98755e+00,-9.57e+00,3.20e-02,-2.92e-01,-9.55e+00, 
-2.98682e+00,-9.57e+00,3.20e-02,-2.92e-01,-9.55e+00, 
-2.98608e+00,-9.55e+00,3.20e-02,-2.92e-01,-9.55e+00, 
-2.98535e+00,-9.55e+00,3.20e-02,-2.92e-01,-9.52e+00, 
-2.98462e+00,-9.57e+00,3.40e-02,-2.91e-01,-9.55e+00, 
-2.98389e+00,-9.57e+00,3.40e-02,-2.92e-01,-9.55e+00, 
-2.98315e+00,-9.57e+00,3.20e-02,-2.91e-01,-9.55e+00, 
-2.98242e+00,-9.55e+00,3.20e-02,-2.90e-01,-9.55e+00, 
-2.98169e+00,-9.57e+00,3.20e-02,-2.90e-01,-9.55e+00, 
-2.98096e+00,-9.55e+00,3.20e-02,-2.91e-01,-9.55e+00, 
-2.98022e+00,-9.57e+00,3.20e-02,-2.90e-01,-9.55e+00, 
-2.97949e+00,-9.55e+00,3.20e-02,-2.90e-01,-9.55e+00, 
-2.97876e+00,-9.57e+00,3.20e-02,-2.90e-01,-9.55e+00, 
-2.97803e+00,-9.55e+00,3.20e-02,-2.90e-01,-9.52e+00, 
-2.97729e+00,-9.55e+00,3.20e-02,-2.89e-01,-9.55e+00, 
-2.97656e+00,-9.55e+00,3.20e-02,-2.89e-01,-9.52e+00, 
-2.97583e+00,-9.55e+00,3.40e-02,-2.89e-01,-9.52e+00, 
-2.97510e+00,-9.55e+00,3.20e-02,-2.89e-01,-9.55e+00, 
-2.97437e+00,-9.55e+00,3.20e-02,-2.88e-01,-9.52e+00, 
-2.97363e+00,-9.57e+00,3.20e-02,-2.88e-01,-9.55e+00, 
-2.97290e+00,-9.57e+00,3.20e-02,-2.88e-01,-9.52e+00, 
-2.97217e+00,-9.55e+00,3.20e-02,-2.87e-01,-9.55e+00, 
-2.97144e+00,-9.57e+00,3.20e-02,-2.88e-01,-9.55e+00, 
-2.97070e+00,-9.60e+00,3.40e-02,-2.87e-01,-9.55e+00, 
-2.96997e+00,-9.57e+00,3.20e-02,-2.87e-01,-9.55e+00, 
-2.96924e+00,-9.57e+00,3.20e-02,-2.86e-01,-9.55e+00, 
-2.96851e+00,-9.55e+00,3.20e-02,-2.86e-01,-9.52e+00, 
-2.96777e+00,-9.55e+00,3.20e-02,-2.86e-01,-9.52e+00, 
-2.96704e+00,-9.57e+00,3.20e-02,-2.86e-01,-9.55e+00, 
-2.96631e+00,-9.55e+00,3.20e-02,-2.86e-01,-9.55e+00, 
-2.96558e+00,-9.57e+00,3.40e-02,-2.86e-01,-9.52e+00, 
-2.96484e+00,-9.55e+00,3.40e-02,-2.86e-01,-9.55e+00, 
-2.96411e+00,-9.57e+00,3.20e-02,-2.86e-01,-9.52e+00, 
-2.96338e+00,-9.55e+00,3.20e-02,-2.86e-01,-9.55e+00, 
-2.96265e+00,-9.57e+00,3.20e-02,-2.85e-01,-9.52e+00, 
-2.96191e+00,-9.55e+00,3.20e-02,-2.85e-01,-9.55e+00, 
-2.96118e+00,-9.57e+00,3.20e-02,-2.86e-01,-9.52e+00, 
-2.96045e+00,-9.57e+00,3.20e-02,-2.84e-01,-9.52e+00, 
-2.95972e+00,-9.55e+00,3.20e-02,-2.85e-01,-9.55e+00, 
-2.95898e+00,-9.57e+00,3.20e-02,-2.84e-01,-9.49e+00, 
-2.95825e+00,-9.57e+00,3.20e-02,-2.84e-01,-9.52e+00, 
-2.95752e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.52e+00, 
-2.95679e+00,-9.55e+00,3.20e-02,-2.84e-01,-9.52e+00, 
-2.95605e+00,-9.57e+00,3.20e-02,-2.85e-01,-9.52e+00, 
-2.95532e+00,-9.55e+00,3.20e-02,-2.84e-01,-9.52e+00, 
-2.95459e+00,-9.55e+00,3.20e-02,-2.83e-01,-9.55e+00, 
-2.95386e+00,-9.55e+00,3.20e-02,-2.83e-01,-9.55e+00, 
-2.95313e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.95239e+00,-9.57e+00,3.20e-02,-2.84e-01,-9.55e+00, 
-2.95166e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.52e+00, 
-2.95093e+00,-9.52e+00,3.40e-02,-2.84e-01,-9.52e+00, 
-2.95020e+00,-9.55e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94946e+00,-9.55e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94873e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94800e+00,-9.55e+00,3.20e-02,-2.83e-01,-9.52e+00, 
-2.94727e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.52e+00, 
-2.94653e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94580e+00,-9.55e+00,3.40e-02,-2.84e-01,-9.55e+00, 
-2.94507e+00,-9.52e+00,3.60e-02,-2.83e-01,-9.52e+00, 
-2.94434e+00,-9.55e+00,3.40e-02,-2.83e-01,-9.52e+00, 
-2.94360e+00,-9.55e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94287e+00,-9.55e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94214e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94141e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.55e+00, 
-2.94067e+00,-9.57e+00,3.40e-02,-2.83e-01,-9.52e+00, 
-2.93994e+00,-9.55e+00,3.40e-02,-2.82e-01,-9.52e+00, 
-2.93921e+00,-9.55e+00,3.20e-02,-2.82e-01,-9.52e+00, 
-2.93848e+00,-9.57e+00,3.60e-02,-2.82e-01,-9.52e+00, 
-2.93774e+00,-9.55e+00,3.60e-02,-2.82e-01,-9.55e+00, 
-2.93701e+00,-9.52e+00,3.60e-02,-2.82e-01,-9.52e+00, 
-2.93628e+00,-9.52e+00,3.60e-02,-2.82e-01,-9.55e+00, 
-2.93555e+00,-9.55e+00,3.60e-02,-2.82e-01,-9.55e+00, 
-2.93481e+00,-9.55e+00,3.40e-02,-2.81e-01,-9.52e+00, 
-2.93408e+00,-9.57e+00,3.40e-02,-2.81e-01,-9.55e+00, 
-2.93335e+00,-9.55e+00,3.60e-02,-2.81e-01,-9.55e+00, 
-2.93262e+00,-9.55e+00,3.60e-02,-2.81e-01,-9.52e+00, 
-2.93188e+00,-9.57e+00,3.60e-02,-2.81e-01,-9.52e+00, 
-2.93115e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.93042e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.92969e+00,-9.55e+00,3.60e-02,-2.81e-01,-9.55e+00, 
-2.92896e+00,-9.52e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.92822e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.92749e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.49e+00, 
-2.92676e+00,-9.57e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.92603e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.92529e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.92456e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.92383e+00,-9.57e+00,3.60e-02,-2.80e-01,-9.55e+00, 
-2.92310e+00,-9.52e+00,3.40e-02,-2.80e-01,-9.49e+00, 
-2.92236e+00,-9.57e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.92163e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.55e+00, 
-2.92090e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.92017e+00,-9.52e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.91943e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.49e+00, 
-2.91870e+00,-9.52e+00,3.40e-02,-2.80e-01,-9.55e+00, 
-2.91797e+00,-9.52e+00,3.40e-02,-2.80e-01,-9.55e+00, 
-2.91724e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.49e+00, 
-2.91650e+00,-9.52e+00,3.40e-02,-2.80e-01,-9.55e+00, 
-2.91577e+00,-9.55e+00,3.40e-02,-2.80e-01,-9.52e+00, 
-2.91504e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.49e+00, 
-2.91431e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.55e+00, 
-2.91357e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.91284e+00,-9.55e+00,3.60e-02,-2.79e-01,-9.52e+00, 
-2.91211e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.55e+00, 
-2.91138e+00,-9.52e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.91064e+00,-9.55e+00,3.60e-02,-2.79e-01,-9.52e+00, 
-2.90991e+00,-9.52e+00,3.60e-02,-2.80e-01,-9.55e+00, 
-2.90918e+00,-9.57e+00,3.80e-02,-2.80e-01,-9.52e+00, 
-2.90845e+00,-9.52e+00,3.60e-02,-2.79e-01,-9.49e+00, 
-2.90771e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.55e+00, 
-2.90698e+00,-9.57e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.90625e+00,-9.55e+00,3.80e-02,-2.80e-01,-9.52e+00, 
-2.90552e+00,-9.55e+00,3.80e-02,-2.80e-01,-9.52e+00, 
-2.90479e+00,-9.55e+00,3.60e-02,-2.80e-01,-9.52e+00, 
-2.90405e+00,-9.55e+00,3.80e-02,-2.80e-01,-9.55e+00, 
