,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.20000e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19985e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19971e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19956e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19941e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19927e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19912e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19897e+00,-9.00e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19883e+00,-9.04e+00,-2.84e-01,-3.03e-01,-9.32e+00, 
-1.19868e+00,-9.00e+00,-2.80e-01,-3.03e-01,-9.32e+00, 
-1.19854e+00,-9.00e+00,-2.84e-01,-3.04e-01,-9.32e+00, 
-1.19839e+00,-9.04e+00,-2.84e-01,-3.04e-01,-9.32e+00, 
-1.19824e+00,-9.00e+00,-2.84e-01,-3.04e-01,-9.32e+00, 
-1.19810e+00,-9.04e+00,-2.80e-01,-3.04e-01,-9.32e+00, 
-1.19795e+00,-9.00e+00,-2.84e-01,-3.04e-01,-9.32e+00, 
-1.19780e+00,-9.00e+00,-2.84e-01,-3.04e-01,-9.32e+00, 
-1.19766e+00,-9.00e+00,-2.84e-01,-3.05e-01,-9.32e+00, 
-1.19751e+00,-9.04e+00,-2.84e-01,-3.05e-01,-9.32e+00, 
-1.19736e+00,-9.04e+00,-2.84e-01,-3.05e-01,-9.32e+00, 
-1.19722e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19707e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19692e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19678e+00,-9.00e+00,-2.84e-01,-3.05e-01,-9.32e+00, 
-1.19663e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19648e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19634e+00,-9.00e+00,-2.80e-01,-3.06e-01,-9.32e+00, 
-1.19619e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19604e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19590e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19575e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19561e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19546e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19531e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19517e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.36e+00, 
-1.19502e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19487e+00,-9.00e+00,-2.84e-01,-3.07e-01,-9.32e+00, 
-1.19473e+00,-9.04e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19458e+00,-9.04e+00,-2.80e-01,-3.07e-01,-9.32e+00, 
-1.19443e+00,-9.00e+00,-2.80e-01,-3.07e-01,-9.32e+00, 
-1.19429e+00,-9.00e+00,-2.80e-01,-3.07e-01,-9.32e+00, 
-1.19414e+00,-9.00e+00,-2.80e-01,-3.07e-01,-9.32e+00, 
-1.19399e+00,-9.00e+00,-2.84e-01,-3.06e-01,-9.32e+00, 
-1.19385e+00,-9.00e+00,-2.80e-01,-3.08e-01,-9.32e+00, 
-1.19370e+00,-9.00e+00,-2.80e-01,-3.07e-01,-9.32e+00, 
-1.19355e+00,-8.96e+00,-2.84e-01,-3.08e-01,-9.28e+00, 
-1.19341e+00,-9.00e+00,-2.80e-01,-3.07e-01,-9.32e+00, 
-1.19326e+00,-9.00e+00,-2.80e-01,-3.08e-01,-9.32e+00, 
-1.19312e+00,-9.00e+00,-2.80e-01,-3.08e-01,-9.32e+00, 
-1.19297e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.32e+00, 
-1.19282e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.32e+00, 
-1.19268e+00,-9.00e+00,-2.80e-01,-3.09e-01,-9.32e+00, 
-1.19253e+00,-9.04e+00,-2.80e-01,-3.08e-01,-9.32e+00, 
-1.19238e+00,-9.04e+00,-2.84e-01,-3.09e-01,-9.28e+00, 
-1.19224e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.32e+00, 
-1.19209e+00,-9.04e+00,-2.84e-01,-3.10e-01,-9.28e+00, 
-1.19194e+00,-9.04e+00,-2.80e-01,-3.09e-01,-9.32e+00, 
-1.19180e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.32e+00, 
-1.19165e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.32e+00, 
-1.19150e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.32e+00, 
-1.19136e+00,-9.00e+00,-2.84e-01,-3.09e-01,-9.28e+00, 
-1.19121e+00,-9.00e+00,-2.84e-01,-3.10e-01,-9.32e+00, 
-1.19106e+00,-9.00e+00,-2.84e-01,-3.10e-01,-9.32e+00, 
-1.19092e+00,-9.00e+00,-2.80e-01,-3.09e-01,-9.36e+00, 
-1.19077e+00,-9.00e+00,-2.84e-01,-3.10e-01,-9.32e+00, 
-1.19063e+00,-9.00e+00,-2.84e-01,-3.10e-01,-9.28e+00, 
-1.19048e+00,-9.00e+00,-2.84e-01,-3.10e-01,-9.28e+00, 
-1.19033e+00,-9.00e+00,-2.80e-01,-3.10e-01,-9.32e+00, 
-1.19019e+00,-9.04e+00,-2.84e-01,-3.10e-01,-9.32e+00, 
-1.19004e+00,-9.00e+00,-2.80e-01,-3.10e-01,-9.36e+00, 
-1.18989e+00,-9.00e+00,-2.84e-01,-3.10e-01,-9.32e+00, 
-1.18975e+00,-9.04e+00,-2.84e-01,-3.10e-01,-9.32e+00, 
-1.18960e+00,-9.00e+00,-2.84e-01,-3.11e-01,-9.32e+00, 
-1.18945e+00,-8.96e+00,-2.80e-01,-3.10e-01,-9.32e+00, 
