,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-4.00001e-02,-9.12e+00,-2.72e-01,-3.02e-01,-9.40e+00, 
-3.97071e-02,-9.12e+00,-2.72e-01,-3.02e-01,-9.40e+00, 
-3.94142e-02,-9.12e+00,-2.72e-01,-3.02e-01,-9.40e+00, 
-3.91212e-02,-9.12e+00,-2.72e-01,-3.02e-01,-9.40e+00, 
-3.88283e-02,-9.12e+00,-2.72e-01,-3.02e-01,-9.40e+00, 
-3.85352e-02,-9.12e+00,-2.84e-01,-3.02e-01,-9.44e+00, 
-3.82422e-02,-9.12e+00,-3.04e-01,-3.02e-01,-9.48e+00, 
-3.79493e-02,-9.12e+00,-3.08e-01,-3.02e-01,-9.48e+00, 
-3.76563e-02,-9.16e+00,-3.12e-01,-3.03e-01,-9.48e+00, 
-3.73634e-02,-9.16e+00,-3.16e-01,-3.05e-01,-9.48e+00, 
-3.70704e-02,-9.16e+00,-3.20e-01,-3.06e-01,-9.48e+00, 
-3.67774e-02,-9.12e+00,-3.20e-01,-3.08e-01,-9.48e+00, 
-3.64845e-02,-9.12e+00,-3.20e-01,-3.10e-01,-9.48e+00, 
-3.61915e-02,-9.16e+00,-3.24e-01,-3.11e-01,-9.48e+00, 
-3.58986e-02,-9.12e+00,-3.20e-01,-3.14e-01,-9.48e+00, 
-3.56055e-02,-9.16e+00,-3.12e-01,-3.14e-01,-9.48e+00, 
-3.53125e-02,-9.16e+00,-3.08e-01,-3.14e-01,-9.48e+00, 
-3.50196e-02,-9.16e+00,-3.20e-01,-3.15e-01,-9.48e+00, 
-3.47266e-02,-9.16e+00,-3.24e-01,-3.14e-01,-9.48e+00, 
-3.44337e-02,-9.16e+00,-3.24e-01,-3.14e-01,-9.48e+00, 
-3.41407e-02,-9.16e+00,-3.24e-01,-3.14e-01,-9.48e+00, 
-3.38477e-02,-9.16e+00,-3.24e-01,-3.12e-01,-9.48e+00, 
-3.35548e-02,-9.12e+00,-3.24e-01,-3.10e-01,-9.48e+00, 
-3.32618e-02,-9.16e+00,-3.28e-01,-3.10e-01,-9.48e+00, 
-3.29689e-02,-9.16e+00,-3.24e-01,-3.08e-01,-9.48e+00, 
-3.26759e-02,-9.12e+00,-3.28e-01,-3.07e-01,-9.48e+00, 
-3.23828e-02,-9.12e+00,-3.24e-01,-3.06e-01,-9.48e+00, 
-3.20899e-02,-9.12e+00,-3.32e-01,-3.05e-01,-9.48e+00, 
-3.17969e-02,-9.12e+00,-3.28e-01,-3.04e-01,-9.48e+00, 
-3.15040e-02,-9.12e+00,-3.32e-01,-3.03e-01,-9.48e+00, 
-3.12110e-02,-9.12e+00,-3.32e-01,-3.02e-01,-9.48e+00, 
-3.09180e-02,-9.08e+00,-3.32e-01,-3.02e-01,-9.48e+00, 
-3.06251e-02,-9.12e+00,-3.32e-01,-3.02e-01,-9.48e+00, 
-3.03321e-02,-9.08e+00,-3.36e-01,-3.02e-01,-9.48e+00, 
-3.00392e-02,-9.12e+00,-3.36e-01,-3.02e-01,-9.48e+00, 
-2.97462e-02,-9.12e+00,-3.36e-01,-3.02e-01,-9.48e+00, 
-2.94532e-02,-9.08e+00,-3.36e-01,-3.04e-01,-9.48e+00, 
-2.91603e-02,-9.08e+00,-3.36e-01,-3.06e-01,-9.44e+00, 
-2.88672e-02,-9.08e+00,-3.36e-01,-3.08e-01,-9.48e+00, 
-2.85743e-02,-9.08e+00,-3.36e-01,-3.09e-01,-9.48e+00, 
-2.82813e-02,-9.08e+00,-3.36e-01,-3.11e-01,-9.48e+00, 
-2.79883e-02,-9.08e+00,-3.36e-01,-3.14e-01,-9.44e+00, 
-2.76954e-02,-9.08e+00,-3.36e-01,-3.14e-01,-9.48e+00, 
-2.74024e-02,-9.08e+00,-3.36e-01,-3.14e-01,-9.48e+00, 
-2.71095e-02,-9.08e+00,-3.40e-01,-3.14e-01,-9.44e+00, 
-2.68165e-02,-9.08e+00,-3.40e-01,-3.14e-01,-9.44e+00, 
-2.65235e-02,-9.08e+00,-3.40e-01,-3.14e-01,-9.44e+00, 
-2.62306e-02,-9.08e+00,-3.40e-01,-3.13e-01,-9.44e+00, 
-2.59376e-02,-9.08e+00,-3.40e-01,-3.12e-01,-9.44e+00, 
-2.56447e-02,-9.08e+00,-3.44e-01,-3.10e-01,-9.44e+00, 
-2.53516e-02,-9.08e+00,-3.44e-01,-3.10e-01,-9.44e+00, 
-2.50586e-02,-9.08e+00,-3.44e-01,-3.08e-01,-9.44e+00, 
-2.47657e-02,-9.08e+00,-3.44e-01,-3.07e-01,-9.44e+00, 
-2.44727e-02,-9.08e+00,-3.44e-01,-3.06e-01,-9.44e+00, 
-2.41798e-02,-9.08e+00,-3.48e-01,-3.05e-01,-9.44e+00, 
-2.38868e-02,-9.08e+00,-3.48e-01,-3.04e-01,-9.44e+00, 
-2.35938e-02,-9.08e+00,-3.44e-01,-3.03e-01,-9.44e+00, 
-2.33009e-02,-9.08e+00,-3.48e-01,-3.02e-01,-9.48e+00, 
-2.30079e-02,-9.08e+00,-3.48e-01,-3.02e-01,-9.48e+00, 
-2.27150e-02,-9.08e+00,-3.48e-01,-3.02e-01,-9.44e+00, 
-2.24220e-02,-9.08e+00,-3.48e-01,-3.02e-01,-9.44e+00, 
-2.21289e-02,-9.08e+00,-3.48e-01,-3.02e-01,-9.44e+00, 
-2.18360e-02,-9.08e+00,-3.48e-01,-3.02e-01,-9.44e+00, 
-2.15430e-02,-9.08e+00,-3.48e-01,-3.04e-01,-9.44e+00, 
-2.12501e-02,-9.08e+00,-3.48e-01,-3.06e-01,-9.44e+00, 
-2.09571e-02,-9.08e+00,-3.48e-01,-3.08e-01,-9.44e+00, 
-2.06641e-02,-9.08e+00,-3.52e-01,-3.10e-01,-9.48e+00, 
-2.03712e-02,-9.08e+00,-3.52e-01,-3.11e-01,-9.48e+00, 
-2.00782e-02,-9.08e+00,-3.48e-01,-3.13e-01,-9.48e+00, 
-1.97853e-02,-9.08e+00,-3.52e-01,-3.14e-01,-9.48e+00, 
-1.94923e-02,-9.08e+00,-3.48e-01,-3.14e-01,-9.48e+00, 
-1.91993e-02,-9.08e+00,-3.48e-01,-3.14e-01,-9.44e+00, 
-1.89064e-02,-9.08e+00,-3.52e-01,-3.14e-01,-9.44e+00, 
-1.86133e-02,-9.08e+00,-3.48e-01,-3.14e-01,-9.48e+00, 
-1.83204e-02,-9.08e+00,-3.48e-01,-3.13e-01,-9.48e+00, 
-1.80274e-02,-9.12e+00,-3.48e-01,-3.11e-01,-9.48e+00, 
-1.77344e-02,-9.12e+00,-3.52e-01,-3.10e-01,-9.48e+00, 
-1.74415e-02,-9.12e+00,-3.48e-01,-3.09e-01,-9.48e+00, 
-1.71485e-02,-9.12e+00,-3.48e-01,-3.07e-01,-9.48e+00, 
-1.68556e-02,-9.12e+00,-3.48e-01,-3.06e-01,-9.52e+00, 
-1.65626e-02,-9.16e+00,-3.48e-01,-3.05e-01,-9.52e+00, 
-1.62696e-02,-9.12e+00,-3.48e-01,-3.04e-01,-9.48e+00, 
-1.59767e-02,-9.16e+00,-3.48e-01,-3.03e-01,-9.52e+00, 
-1.56837e-02,-9.16e+00,-3.44e-01,-3.02e-01,-9.52e+00, 
-1.53908e-02,-9.16e+00,-3.48e-01,-3.02e-01,-9.52e+00, 
-1.50977e-02,-9.16e+00,-3.44e-01,-3.02e-01,-9.52e+00, 
-1.48047e-02,-9.20e+00,-3.44e-01,-3.02e-01,-9.52e+00, 
-1.45118e-02,-9.24e+00,-3.44e-01,-3.02e-01,-9.56e+00, 
-1.42188e-02,-9.20e+00,-3.44e-01,-3.02e-01,-9.56e+00, 
-1.39259e-02,-9.24e+00,-3.44e-01,-3.03e-01,-9.56e+00, 
-1.36329e-02,-9.20e+00,-3.44e-01,-3.05e-01,-9.56e+00, 
-1.33399e-02,-9.20e+00,-3.44e-01,-3.05e-01,-9.56e+00, 
-1.30470e-02,-9.20e+00,-3.40e-01,-3.06e-01,-9.56e+00, 
-1.27540e-02,-9.20e+00,-3.44e-01,-3.06e-01,-9.56e+00, 
-1.24611e-02,-9.20e+00,-3.44e-01,-3.07e-01,-9.56e+00, 
-1.21680e-02,-9.24e+00,-3.44e-01,-3.08e-01,-9.56e+00, 
-1.18750e-02,-9.24e+00,-3.40e-01,-3.08e-01,-9.60e+00, 
-1.15821e-02,-9.20e+00,-3.44e-01,-3.09e-01,-9.56e+00, 
-1.12891e-02,-9.20e+00,-3.44e-01,-3.10e-01,-9.56e+00, 
-1.09962e-02,-9.24e+00,-3.44e-01,-3.10e-01,-9.56e+00, 
-1.07032e-02,-9.20e+00,-3.44e-01,-3.10e-01,-9.56e+00, 
-1.04102e-02,-9.24e+00,-3.40e-01,-3.10e-01,-9.60e+00, 
-1.01173e-02,-9.24e+00,-3.44e-01,-3.10e-01,-9.60e+00, 
-9.82428e-03,-9.24e+00,-3.44e-01,-3.11e-01,-9.60e+00, 
-9.53138e-03,-9.24e+00,-3.44e-01,-3.11e-01,-9.56e+00, 
-9.23836e-03,-9.24e+00,-3.40e-01,-3.11e-01,-9.60e+00, 
-8.94535e-03,-9.24e+00,-3.40e-01,-3.12e-01,-9.60e+00, 
-8.65245e-03,-9.24e+00,-3.40e-01,-3.12e-01,-9.56e+00, 
-8.35943e-03,-9.24e+00,-3.40e-01,-3.12e-01,-9.56e+00, 
-8.06653e-03,-9.24e+00,-3.36e-01,-3.13e-01,-9.60e+00, 
-7.77352e-03,-9.20e+00,-3.40e-01,-3.13e-01,-9.60e+00, 
-7.48050e-03,-9.24e+00,-3.40e-01,-3.13e-01,-9.60e+00, 
-7.18760e-03,-9.24e+00,-3.40e-01,-3.13e-01,-9.60e+00, 
-6.89459e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-6.60169e-03,-9.24e+00,-3.40e-01,-3.13e-01,-9.60e+00, 
-6.30867e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-6.01566e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-5.72276e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
-5.42974e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-5.13685e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
-4.84383e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-4.55081e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-4.25792e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-3.96490e-03,-9.24e+00,-3.44e-01,-3.14e-01,-9.60e+00, 
-3.67200e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-3.37899e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
-3.08597e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-2.79307e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-2.50006e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-2.20716e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
-1.91414e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-1.62113e-03,-9.24e+00,-3.44e-01,-3.14e-01,-9.60e+00, 
-1.32823e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
-1.03521e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-7.42316e-04,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-4.49300e-04,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
-1.56283e-04,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.36614e-04,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
4.29630e-04,-9.24e+00,-3.44e-01,-3.14e-01,-9.56e+00, 
7.22528e-04,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
1.01554e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
1.30856e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.60146e-03,-9.20e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.89447e-03,-9.24e+00,-3.40e-01,-3.15e-01,-9.60e+00, 
2.18737e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
2.48039e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
2.77340e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
3.06630e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
3.35932e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
3.65222e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
3.94523e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
4.23825e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
4.53115e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
4.82416e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
5.11706e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
5.41008e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
5.70309e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
5.99599e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
6.28901e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
6.58190e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
6.87492e-03,-9.20e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
7.16794e-03,-9.24e+00,-3.44e-01,-3.14e-01,-9.60e+00, 
7.46083e-03,-9.24e+00,-3.44e-01,-3.14e-01,-9.60e+00, 
7.75385e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
8.04675e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
8.33976e-03,-9.24e+00,-3.44e-01,-3.14e-01,-9.60e+00, 
8.63278e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
8.92568e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
9.21869e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
9.51159e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
9.80461e-03,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.00976e-02,-9.24e+00,-3.44e-01,-3.14e-01,-9.56e+00, 
1.03905e-02,-9.20e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.06835e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
1.09764e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.12695e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.15625e-02,-9.20e+00,-3.44e-01,-3.14e-01,-9.56e+00, 
1.18554e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.21484e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
1.24413e-02,-9.20e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.27343e-02,-9.24e+00,-3.44e-01,-3.14e-01,-9.56e+00, 
1.30273e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
1.33202e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
1.36132e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.56e+00, 
1.39061e-02,-9.24e+00,-3.40e-01,-3.14e-01,-9.60e+00, 
