,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.28000e-01,-6.26e+00,-5.06e+00,-3.38e-01,2.60e+00, 
-1.27707e-01,-6.26e+00,-5.06e+00,-3.38e-01,2.60e+00, 
-1.27414e-01,-6.26e+00,-5.06e+00,-3.38e-01,2.60e+00, 
-1.27121e-01,-6.26e+00,-5.06e+00,-3.38e-01,2.60e+00, 
-1.26828e-01,-6.26e+00,-5.06e+00,-3.38e-01,2.60e+00, 
-1.26535e-01,-6.26e+00,-5.06e+00,-3.37e-01,2.60e+00, 
-1.26242e-01,-6.26e+00,-5.06e+00,-3.35e-01,2.60e+00, 
-1.25949e-01,-6.26e+00,-5.04e+00,-3.33e-01,2.60e+00, 
-1.25656e-01,-6.26e+00,-5.04e+00,-3.30e-01,2.60e+00, 
-1.25363e-01,-6.26e+00,-5.02e+00,-3.28e-01,2.60e+00, 
-1.25070e-01,-6.24e+00,-5.02e+00,-3.26e-01,2.60e+00, 
-1.24777e-01,-6.24e+00,-5.00e+00,-3.24e-01,2.60e+00, 
-1.24484e-01,-6.24e+00,-5.00e+00,-3.22e-01,2.60e+00, 
-1.24191e-01,-6.22e+00,-5.00e+00,-3.21e-01,2.60e+00, 
-1.23899e-01,-6.22e+00,-4.98e+00,-3.18e-01,2.60e+00, 
-1.23605e-01,-6.22e+00,-4.98e+00,-3.17e-01,2.60e+00, 
-1.23312e-01,-6.22e+00,-4.96e+00,-3.15e-01,2.80e+00, 
-1.23020e-01,-6.20e+00,-4.94e+00,-3.14e-01,2.80e+00, 
-1.22727e-01,-6.20e+00,-4.94e+00,-3.12e-01,2.80e+00, 
-1.22434e-01,-6.20e+00,-4.92e+00,-3.10e-01,2.80e+00, 
-1.22141e-01,-6.20e+00,-4.92e+00,-3.08e-01,2.80e+00, 
-1.21848e-01,-6.20e+00,-4.92e+00,-3.07e-01,2.80e+00, 
-1.21555e-01,-6.20e+00,-4.90e+00,-3.06e-01,3.00e+00, 
-1.21262e-01,-6.18e+00,-4.90e+00,-3.05e-01,3.00e+00, 
-1.20969e-01,-6.18e+00,-4.88e+00,-3.03e-01,3.00e+00, 
-1.20676e-01,-6.16e+00,-4.88e+00,-3.02e-01,3.00e+00, 
-1.20383e-01,-6.14e+00,-4.86e+00,-3.01e-01,3.00e+00, 
-1.20090e-01,-6.14e+00,-4.88e+00,-3.00e-01,3.00e+00, 
-1.19797e-01,-6.14e+00,-4.84e+00,-2.99e-01,3.00e+00, 
-1.19504e-01,-6.14e+00,-4.84e+00,-2.98e-01,3.00e+00, 
-1.19211e-01,-6.12e+00,-4.82e+00,-2.98e-01,3.00e+00, 
-1.18918e-01,-6.12e+00,-4.82e+00,-2.97e-01,3.00e+00, 
-1.18625e-01,-6.12e+00,-4.78e+00,-2.96e-01,3.20e+00, 
-1.18332e-01,-6.12e+00,-4.80e+00,-2.96e-01,3.00e+00, 
-1.18039e-01,-6.10e+00,-4.76e+00,-2.95e-01,3.20e+00, 
-1.17746e-01,-6.10e+00,-4.76e+00,-2.95e-01,3.20e+00, 
-1.17453e-01,-6.10e+00,-4.76e+00,-2.95e-01,3.20e+00, 
-1.17160e-01,-6.10e+00,-4.74e+00,-2.95e-01,3.20e+00, 
-1.16867e-01,-6.08e+00,-4.74e+00,-2.96e-01,3.20e+00, 
-1.16574e-01,-6.08e+00,-4.72e+00,-2.96e-01,3.20e+00, 
-1.16281e-01,-6.06e+00,-4.70e+00,-2.98e-01,3.20e+00, 
-1.15988e-01,-6.06e+00,-4.70e+00,-2.98e-01,3.20e+00, 
-1.15695e-01,-6.06e+00,-4.70e+00,-3.00e-01,3.20e+00, 
-1.15402e-01,-6.06e+00,-4.70e+00,-3.02e-01,3.20e+00, 
-1.15109e-01,-6.06e+00,-4.68e+00,-3.04e-01,3.20e+00, 
-1.14816e-01,-6.04e+00,-4.64e+00,-3.07e-01,3.20e+00, 
-1.14523e-01,-6.04e+00,-4.64e+00,-3.10e-01,3.20e+00, 
-1.14231e-01,-6.04e+00,-4.62e+00,-3.13e-01,3.20e+00, 
-1.13937e-01,-6.02e+00,-4.62e+00,-3.15e-01,3.20e+00, 
-1.13645e-01,-6.02e+00,-4.60e+00,-3.18e-01,3.20e+00, 
-1.13352e-01,-6.02e+00,-4.62e+00,-3.22e-01,3.40e+00, 
-1.13059e-01,-6.00e+00,-4.58e+00,-3.25e-01,3.40e+00, 
-1.12766e-01,-5.98e+00,-4.60e+00,-3.29e-01,3.40e+00, 
-1.12473e-01,-5.98e+00,-4.58e+00,-3.33e-01,3.40e+00, 
-1.12180e-01,-5.98e+00,-4.56e+00,-3.36e-01,3.40e+00, 
-1.11887e-01,-5.98e+00,-4.56e+00,-3.38e-01,3.40e+00, 
-1.11594e-01,-5.98e+00,-4.54e+00,-3.41e-01,3.40e+00, 
-1.11301e-01,-5.98e+00,-4.54e+00,-3.44e-01,3.40e+00, 
-1.11008e-01,-5.96e+00,-4.54e+00,-3.46e-01,3.60e+00, 
-1.10715e-01,-5.98e+00,-4.52e+00,-3.47e-01,3.60e+00, 
-1.10422e-01,-5.96e+00,-4.50e+00,-3.50e-01,3.40e+00, 
-1.10129e-01,-5.96e+00,-4.50e+00,-3.50e-01,3.60e+00, 
-1.09836e-01,-5.94e+00,-4.50e+00,-3.51e-01,3.60e+00, 
-1.09543e-01,-5.94e+00,-4.48e+00,-3.52e-01,3.60e+00, 
-1.09250e-01,-5.94e+00,-4.46e+00,-3.52e-01,3.60e+00, 
