,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-2.10400e+00,-9.58e+00,-2.00e-03,-3.16e-01,-9.60e+00, 
-2.10000e+00,-9.54e+00,-4.00e-03,-3.19e-01,-9.52e+00, 
-2.09600e+00,-9.56e+00,-2.00e-03,-3.18e-01,-9.60e+00, 
-2.09200e+00,-9.58e+00,-4.00e-03,-3.19e-01,-9.52e+00, 
-2.08800e+00,-9.56e+00,-2.00e-03,-3.19e-01,-9.60e+00, 
-2.08400e+00,-9.60e+00,-2.00e-03,-3.21e-01,-9.52e+00, 
-2.08000e+00,-9.54e+00,-2.00e-03,-3.21e-01,-9.60e+00, 
-2.07600e+00,-9.62e+00,0.00e+00,-3.22e-01,-9.52e+00, 
-2.07200e+00,-9.60e+00,-2.00e-03,-3.21e-01,-9.60e+00, 
-2.06800e+00,-9.56e+00,-2.00e-03,-3.22e-01,-9.56e+00, 
-2.06400e+00,-9.62e+00,-2.00e-03,-3.22e-01,-9.60e+00, 
-2.06000e+00,-9.56e+00,-2.00e-03,-3.21e-01,-9.56e+00, 
-2.05600e+00,-9.62e+00,-2.00e-03,-3.21e-01,-9.60e+00, 
-2.05200e+00,-9.56e+00,0.00e+00,-3.20e-01,-9.56e+00, 
-2.04800e+00,-9.58e+00,-2.00e-03,-3.20e-01,-9.64e+00, 
-2.04400e+00,-9.62e+00,0.00e+00,-3.18e-01,-9.56e+00, 
-2.04000e+00,-9.62e+00,-2.00e-03,-3.18e-01,-9.60e+00, 
-2.03600e+00,-9.58e+00,0.00e+00,-3.15e-01,-9.64e+00, 
-2.03200e+00,-9.62e+00,-2.00e-03,-3.15e-01,-9.60e+00, 
-2.02800e+00,-9.60e+00,-2.00e-03,-3.12e-01,-9.64e+00, 
-2.02400e+00,-9.60e+00,-2.00e-03,-3.13e-01,-9.60e+00, 
-2.02000e+00,-9.64e+00,0.00e+00,-3.10e-01,-9.64e+00, 
-2.01600e+00,-9.60e+00,-2.00e-03,-3.10e-01,-9.60e+00, 
-2.01200e+00,-9.64e+00,0.00e+00,-3.06e-01,-9.68e+00, 
-2.00800e+00,-9.64e+00,-2.00e-03,-3.07e-01,-9.60e+00, 
-2.00400e+00,-9.62e+00,0.00e+00,-3.04e-01,-9.68e+00, 
-2.00000e+00,-9.62e+00,-2.00e-03,-3.05e-01,-9.64e+00, 
-1.99600e+00,-9.66e+00,0.00e+00,-3.02e-01,-9.68e+00, 
-1.99200e+00,-9.64e+00,-2.00e-03,-3.02e-01,-9.68e+00, 
-1.98800e+00,-9.68e+00,2.00e-03,-2.99e-01,-9.64e+00, 
-1.98400e+00,-9.62e+00,-2.00e-03,-2.99e-01,-9.64e+00, 
-1.98000e+00,-9.68e+00,2.00e-03,-2.98e-01,-9.68e+00, 
-1.97600e+00,-9.68e+00,0.00e+00,-2.98e-01,-9.68e+00, 
-1.97200e+00,-9.64e+00,2.00e-03,-2.96e-01,-9.64e+00, 
-1.96800e+00,-9.66e+00,0.00e+00,-2.96e-01,-9.68e+00, 
-1.96400e+00,-9.68e+00,4.00e-03,-2.98e-01,-9.68e+00, 
-1.96000e+00,-9.68e+00,4.00e-03,-2.96e-01,-9.68e+00, 
-1.95600e+00,-9.70e+00,2.00e-03,-2.97e-01,-9.68e+00, 
-1.95200e+00,-9.68e+00,4.00e-03,-2.96e-01,-9.68e+00, 
-1.94800e+00,-9.72e+00,2.00e-03,-2.98e-01,-9.72e+00, 
-1.94400e+00,-9.68e+00,4.00e-03,-2.98e-01,-9.68e+00, 
-1.94000e+00,-9.72e+00,2.00e-03,-2.99e-01,-9.72e+00, 
-1.93600e+00,-9.68e+00,4.00e-03,-2.98e-01,-9.68e+00, 
-1.93200e+00,-9.72e+00,4.00e-03,-3.00e-01,-9.72e+00, 
-1.92800e+00,-9.68e+00,4.00e-03,-3.00e-01,-9.68e+00, 
-1.92400e+00,-9.76e+00,6.00e-03,-3.02e-01,-9.72e+00, 
-1.92000e+00,-9.72e+00,4.00e-03,-3.02e-01,-9.68e+00, 
-1.91600e+00,-9.76e+00,8.00e-03,-3.05e-01,-9.76e+00, 
-1.91200e+00,-9.72e+00,8.00e-03,-3.04e-01,-9.72e+00, 
-1.90800e+00,-9.76e+00,6.00e-03,-3.06e-01,-9.76e+00, 
-1.90400e+00,-9.76e+00,8.00e-03,-3.05e-01,-9.68e+00, 
-1.90000e+00,-9.74e+00,1.00e-02,-3.08e-01,-9.76e+00, 
-1.89600e+00,-9.76e+00,1.00e-02,-3.08e-01,-9.72e+00, 
-1.89200e+00,-9.74e+00,8.00e-03,-3.10e-01,-9.76e+00, 
-1.88800e+00,-9.76e+00,8.00e-03,-3.10e-01,-9.72e+00, 
-1.88400e+00,-9.74e+00,1.20e-02,-3.14e-01,-9.80e+00, 
-1.88000e+00,-9.78e+00,8.00e-03,-3.14e-01,-9.72e+00, 
-1.87600e+00,-9.74e+00,1.20e-02,-3.17e-01,-9.76e+00, 
-1.87200e+00,-9.76e+00,1.00e-02,-3.16e-01,-9.76e+00, 
-1.86800e+00,-9.78e+00,1.20e-02,-3.18e-01,-9.72e+00, 
-1.86400e+00,-9.76e+00,1.20e-02,-3.18e-01,-9.72e+00, 
-1.86000e+00,-9.80e+00,1.00e-02,-3.19e-01,-9.80e+00, 
-1.85600e+00,-9.76e+00,1.20e-02,-3.19e-01,-9.76e+00, 
-1.85200e+00,-9.78e+00,1.00e-02,-3.22e-01,-9.72e+00, 
-1.84800e+00,-9.76e+00,1.20e-02,-3.21e-01,-9.80e+00, 
-1.84400e+00,-9.78e+00,1.00e-02,-3.22e-01,-9.72e+00, 
-1.84000e+00,-9.76e+00,1.20e-02,-3.22e-01,-9.72e+00, 
-1.83600e+00,-9.82e+00,1.20e-02,-3.22e-01,-9.80e+00, 
-1.83200e+00,-9.76e+00,1.20e-02,-3.22e-01,-9.76e+00, 
-1.82800e+00,-9.80e+00,1.20e-02,-3.22e-01,-9.80e+00, 
-1.82400e+00,-9.80e+00,1.20e-02,-3.22e-01,-9.80e+00, 
-1.82000e+00,-9.76e+00,1.20e-02,-3.19e-01,-9.76e+00, 
-1.81600e+00,-9.76e+00,1.20e-02,-3.20e-01,-9.80e+00, 
-1.81200e+00,-9.82e+00,1.20e-02,-3.18e-01,-9.76e+00, 
-1.80800e+00,-9.80e+00,1.20e-02,-3.18e-01,-9.76e+00, 
-1.80400e+00,-9.76e+00,1.20e-02,-3.15e-01,-9.80e+00, 
-1.80000e+00,-9.78e+00,1.20e-02,-3.16e-01,-9.76e+00, 
-1.79600e+00,-9.80e+00,1.20e-02,-3.14e-01,-9.80e+00, 
-1.79200e+00,-9.76e+00,1.20e-02,-3.14e-01,-9.76e+00, 
-1.78800e+00,-9.80e+00,1.20e-02,-3.10e-01,-9.80e+00, 
-1.78400e+00,-9.78e+00,1.20e-02,-3.11e-01,-9.76e+00, 
-1.78000e+00,-9.82e+00,1.40e-02,-3.08e-01,-9.80e+00, 
-1.77600e+00,-9.76e+00,1.20e-02,-3.08e-01,-9.76e+00, 
-1.77200e+00,-9.84e+00,1.20e-02,-3.05e-01,-9.80e+00, 
-1.76800e+00,-9.80e+00,1.20e-02,-3.05e-01,-9.80e+00, 
-1.76400e+00,-9.76e+00,1.20e-02,-3.02e-01,-9.76e+00, 
-1.76000e+00,-9.76e+00,1.20e-02,-3.02e-01,-9.80e+00, 
-1.75600e+00,-9.82e+00,1.40e-02,-3.00e-01,-9.76e+00, 
-1.75200e+00,-9.76e+00,1.20e-02,-3.01e-01,-9.80e+00, 
-1.74800e+00,-9.82e+00,1.40e-02,-2.98e-01,-9.76e+00, 
