,CH3,CH4
Second,Volt,Volt
-2.13920e-01,2.80e-01,-1.39e-02, 
-2.13840e-01,2.80e-01,-1.39e-02, 
-2.13760e-01,2.80e-01,-1.39e-02, 
-2.13680e-01,2.80e-01,-1.39e-02, 
-2.13600e-01,2.80e-01,-1.39e-02, 
-2.13520e-01,2.80e-01,-1.39e-02, 
-2.13440e-01,2.80e-01,-1.39e-02, 
-2.13360e-01,2.80e-01,-1.39e-02, 
-2.13280e-01,2.80e-01,-1.39e-02, 
-2.13200e-01,2.80e-01,-1.39e-02, 
-2.13120e-01,2.80e-01,-1.39e-02, 
-2.13040e-01,2.80e-01,-1.39e-02, 
-2.12960e-01,2.80e-01,-1.39e-02, 
-2.12880e-01,2.80e-01,-1.39e-02, 
-2.12800e-01,2.80e-01,-1.39e-02, 
-2.12720e-01,2.80e-01,-1.39e-02, 
-2.12640e-01,2.80e-01,-1.39e-02, 
-2.12560e-01,2.80e-01,-1.39e-02, 
-2.12480e-01,2.81e-01,-1.39e-02, 
-2.12400e-01,2.81e-01,-1.39e-02, 
-2.12320e-01,2.81e-01,-1.39e-02, 
-2.12240e-01,2.82e-01,-1.39e-02, 
-2.12160e-01,2.81e-01,-1.39e-02, 
-2.12080e-01,2.81e-01,-1.39e-02, 
-2.12000e-01,2.81e-01,-1.39e-02, 
-2.11920e-01,2.82e-01,-1.39e-02, 
-2.11840e-01,2.82e-01,-1.39e-02, 
-2.11760e-01,2.82e-01,-1.39e-02, 
-2.11680e-01,2.82e-01,-1.39e-02, 
-2.11600e-01,2.82e-01,-1.39e-02, 
-2.11520e-01,2.82e-01,-1.39e-02, 
-2.11440e-01,2.83e-01,-1.39e-02, 
-2.11360e-01,2.82e-01,-1.39e-02, 
-2.11280e-01,2.82e-01,-1.39e-02, 
-2.11200e-01,2.83e-01,-1.39e-02, 
-2.11120e-01,2.82e-01,-1.39e-02, 
-2.11040e-01,2.83e-01,-1.39e-02, 
-2.10960e-01,2.83e-01,-1.39e-02, 
-2.10880e-01,2.83e-01,-1.39e-02, 
-2.10800e-01,2.83e-01,-1.39e-02, 
-2.10720e-01,2.83e-01,-1.39e-02, 
-2.10640e-01,2.83e-01,-1.39e-02, 
-2.10560e-01,2.83e-01,-1.39e-02, 
-2.10480e-01,2.84e-01,-1.39e-02, 
-2.10400e-01,2.83e-01,-1.39e-02, 
-2.10320e-01,2.83e-01,-1.39e-02, 
-2.10240e-01,2.84e-01,-1.39e-02, 
-2.10160e-01,2.83e-01,-1.39e-02, 
-2.10080e-01,2.83e-01,-1.39e-02, 
-2.10000e-01,2.84e-01,-1.39e-02, 
-2.09920e-01,2.84e-01,-1.39e-02, 
-2.09840e-01,2.84e-01,-1.39e-02, 
-2.09760e-01,2.84e-01,-1.39e-02, 
-2.09680e-01,2.84e-01,-1.39e-02, 
-2.09600e-01,2.84e-01,-1.39e-02, 
-2.09520e-01,2.84e-01,-1.39e-02, 
-2.09440e-01,2.85e-01,-1.39e-02, 
-2.09360e-01,2.84e-01,-1.39e-02, 
-2.09280e-01,2.85e-01,-1.39e-02, 
-2.09200e-01,2.85e-01,-1.39e-02, 
-2.09120e-01,2.85e-01,-1.39e-02, 
-2.09040e-01,2.85e-01,-1.39e-02, 
-2.08960e-01,2.85e-01,-1.39e-02, 
-2.08880e-01,2.85e-01,-1.39e-02, 
-2.08800e-01,2.85e-01,-1.39e-02, 
-2.08720e-01,2.86e-01,-1.39e-02, 
-2.08640e-01,2.85e-01,-1.39e-02, 
-2.08560e-01,2.85e-01,-1.39e-02, 
-2.08480e-01,2.85e-01,-1.39e-02, 
-2.08400e-01,2.86e-01,-1.39e-02, 
-2.08320e-01,2.85e-01,-1.39e-02, 
-2.08240e-01,2.85e-01,-1.39e-02, 
-2.08160e-01,2.85e-01,-1.39e-02, 
-2.08080e-01,2.86e-01,-1.39e-02, 
-2.08000e-01,2.86e-01,-1.39e-02, 
-2.07920e-01,2.86e-01,-1.39e-02, 
-2.07840e-01,2.86e-01,-1.39e-02, 
-2.07760e-01,2.86e-01,-1.39e-02, 
-2.07680e-01,2.86e-01,-1.39e-02, 
-2.07600e-01,2.86e-01,-1.39e-02, 
-2.07520e-01,2.86e-01,-1.39e-02, 
-2.07440e-01,2.86e-01,-1.39e-02, 
-2.07360e-01,2.86e-01,-1.39e-02, 
-2.07280e-01,2.86e-01,-1.39e-02, 
-2.07200e-01,2.86e-01,-1.39e-02, 
-2.07120e-01,2.87e-01,-1.39e-02, 
-2.07040e-01,2.88e-01,-1.39e-02, 
-2.06960e-01,2.88e-01,-1.39e-02, 
-2.06880e-01,2.87e-01,-1.39e-02, 
-2.06800e-01,2.89e-01,-1.39e-02, 
-2.06720e-01,2.88e-01,-1.26e-02, 
-2.06640e-01,2.89e-01,-1.39e-02, 
-2.06560e-01,2.89e-01,-1.39e-02, 
-2.06480e-01,2.89e-01,-1.39e-02, 
-2.06400e-01,2.89e-01,-1.39e-02, 
-2.06320e-01,2.89e-01,-1.39e-02, 
-2.06240e-01,2.89e-01,-1.39e-02, 
-2.06160e-01,2.89e-01,-1.39e-02, 
-2.06080e-01,2.89e-01,-1.39e-02, 
-2.06000e-01,2.89e-01,-1.39e-02, 
-2.05920e-01,2.89e-01,-1.39e-02, 
-2.05840e-01,2.89e-01,-1.39e-02, 
-2.05760e-01,2.89e-01,-1.39e-02, 
-2.05680e-01,2.89e-01,-1.39e-02, 
-2.05600e-01,2.89e-01,-1.39e-02, 
