,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.19600e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19585e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19571e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19556e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19541e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19527e+00,-9.04e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19512e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19497e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19483e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.32e+00, 
-1.19468e+00,-9.00e+00,-2.72e-01,-3.10e-01,-9.36e+00, 
-1.19454e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19439e+00,-9.04e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19424e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.28e+00, 
-1.19410e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19395e+00,-9.04e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19380e+00,-9.04e+00,-2.72e-01,-3.09e-01,-9.28e+00, 
-1.19366e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.28e+00, 
-1.19351e+00,-9.04e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19336e+00,-9.04e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19322e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19307e+00,-9.04e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19292e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19278e+00,-9.04e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19263e+00,-9.00e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19248e+00,-9.00e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19234e+00,-9.04e+00,-2.72e-01,-3.09e-01,-9.32e+00, 
-1.19219e+00,-9.00e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19204e+00,-9.00e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19190e+00,-9.00e+00,-2.72e-01,-3.08e-01,-9.28e+00, 
-1.19175e+00,-9.04e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19161e+00,-9.00e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
-1.19146e+00,-9.04e+00,-2.72e-01,-3.07e-01,-9.36e+00, 
-1.19131e+00,-9.00e+00,-2.72e-01,-3.08e-01,-9.32e+00, 
