,CH3
Second,Volt
-1.71769e+00,-2.94e-01, 
-1.71695e+00,-2.94e-01, 
-1.71622e+00,-2.94e-01, 
-1.71549e+00,-2.94e-01, 
-1.71476e+00,-2.94e-01, 
-1.71402e+00,-2.94e-01, 
-1.71329e+00,-2.94e-01, 
-1.71256e+00,-2.94e-01, 
-1.71183e+00,-2.94e-01, 
-1.71109e+00,-2.94e-01, 
-1.71036e+00,-2.94e-01, 
-1.70963e+00,-2.94e-01, 
-1.70890e+00,-2.95e-01, 
-1.70816e+00,-2.95e-01, 
-1.70743e+00,-2.95e-01, 
-1.70670e+00,-2.95e-01, 
-1.70597e+00,-2.95e-01, 
-1.70523e+00,-2.95e-01, 
-1.70450e+00,-2.95e-01, 
-1.70377e+00,-2.95e-01, 
-1.70304e+00,-2.95e-01, 
-1.70230e+00,-2.96e-01, 
-1.70157e+00,-2.95e-01, 
-1.70084e+00,-2.95e-01, 
-1.70011e+00,-2.96e-01, 
-1.69938e+00,-2.96e-01, 
-1.69864e+00,-2.96e-01, 
-1.69791e+00,-2.97e-01, 
-1.69718e+00,-2.97e-01, 
-1.69645e+00,-2.97e-01, 
-1.69571e+00,-2.98e-01, 
-1.69498e+00,-2.98e-01, 
-1.69425e+00,-2.98e-01, 
-1.69352e+00,-2.98e-01, 
-1.69278e+00,-2.98e-01, 
-1.69205e+00,-2.98e-01, 
-1.69132e+00,-2.98e-01, 
-1.69059e+00,-2.98e-01, 
-1.68985e+00,-2.98e-01, 
-1.68912e+00,-3.00e-01, 
-1.68839e+00,-3.00e-01, 
-1.68766e+00,-2.99e-01, 
-1.68692e+00,-3.00e-01, 
-1.68619e+00,-3.01e-01, 
-1.68546e+00,-3.01e-01, 
-1.68473e+00,-3.01e-01, 
-1.68399e+00,-3.01e-01, 
-1.68326e+00,-3.02e-01, 
-1.68253e+00,-3.02e-01, 
-1.68180e+00,-3.02e-01, 
-1.68106e+00,-3.04e-01, 
-1.68033e+00,-3.04e-01, 
-1.67960e+00,-3.04e-01, 
-1.67887e+00,-3.05e-01, 
-1.67813e+00,-3.05e-01, 
-1.67740e+00,-3.05e-01, 
-1.67667e+00,-3.06e-01, 
-1.67594e+00,-3.06e-01, 
-1.67521e+00,-3.06e-01, 
-1.67447e+00,-3.06e-01, 
-1.67374e+00,-3.06e-01, 
-1.67301e+00,-3.06e-01, 
-1.67228e+00,-3.07e-01, 
-1.67154e+00,-3.07e-01, 
-1.67081e+00,-3.07e-01, 
-1.67008e+00,-3.07e-01, 
-1.66935e+00,-3.07e-01, 
-1.66861e+00,-3.07e-01, 
-1.66788e+00,-3.07e-01, 
-1.66715e+00,-3.07e-01, 
-1.66642e+00,-3.07e-01, 
-1.66568e+00,-3.07e-01, 
-1.66495e+00,-3.08e-01, 
-1.66422e+00,-3.08e-01, 
-1.66349e+00,-3.08e-01, 
-1.66275e+00,-3.07e-01, 
-1.66202e+00,-3.09e-01, 
-1.66129e+00,-3.10e-01, 
-1.66056e+00,-3.08e-01, 
-1.65982e+00,-3.09e-01, 
-1.65909e+00,-3.09e-01, 
-1.65836e+00,-3.08e-01, 
-1.65763e+00,-3.08e-01, 
-1.65689e+00,-3.09e-01, 
-1.65616e+00,-3.09e-01, 
-1.65543e+00,-3.09e-01, 
-1.65470e+00,-3.09e-01, 
-1.65396e+00,-3.10e-01, 
-1.65323e+00,-3.10e-01, 
-1.65250e+00,-3.10e-01, 
-1.65177e+00,-3.10e-01, 
-1.65104e+00,-3.11e-01, 
-1.65030e+00,-3.11e-01, 
-1.64957e+00,-3.11e-01, 
-1.64884e+00,-3.13e-01, 
-1.64811e+00,-3.13e-01, 
-1.64737e+00,-3.13e-01, 
-1.64664e+00,-3.14e-01, 
-1.64591e+00,-3.14e-01, 
-1.64518e+00,-3.15e-01, 
-1.64444e+00,-3.15e-01, 
-1.64371e+00,-3.16e-01, 
-1.64298e+00,-3.17e-01, 
-1.64225e+00,-3.17e-01, 
-1.64151e+00,-3.18e-01, 
-1.64078e+00,-3.18e-01, 
-1.64005e+00,-3.18e-01, 
-1.63932e+00,-3.18e-01, 
-1.63858e+00,-3.19e-01, 
-1.63785e+00,-3.20e-01, 
-1.63712e+00,-3.21e-01, 
-1.63639e+00,-3.21e-01, 
-1.63565e+00,-3.21e-01, 
-1.63492e+00,-3.21e-01, 
-1.63419e+00,-3.22e-01, 
-1.63346e+00,-3.22e-01, 
-1.63272e+00,-3.22e-01, 
-1.63199e+00,-3.22e-01, 
-1.63126e+00,-3.22e-01, 
-1.63053e+00,-3.22e-01, 
-1.62979e+00,-3.23e-01, 
-1.62906e+00,-3.23e-01, 
-1.62833e+00,-3.24e-01, 
-1.62760e+00,-3.23e-01, 
-1.62687e+00,-3.24e-01, 
-1.62613e+00,-3.24e-01, 
-1.62540e+00,-3.24e-01, 
-1.62467e+00,-3.24e-01, 
-1.62394e+00,-3.24e-01, 
-1.62320e+00,-3.24e-01, 
-1.62247e+00,-3.24e-01, 
-1.62174e+00,-3.24e-01, 
-1.62101e+00,-3.25e-01, 
-1.62027e+00,-3.25e-01, 
-1.61954e+00,-3.26e-01, 
-1.61881e+00,-3.25e-01, 
-1.61808e+00,-3.26e-01, 
-1.61734e+00,-3.26e-01, 
-1.61661e+00,-3.26e-01, 
-1.61588e+00,-3.26e-01, 
-1.61515e+00,-3.26e-01, 
-1.61441e+00,-3.27e-01, 
-1.61368e+00,-3.27e-01, 
-1.61295e+00,-3.27e-01, 
-1.61222e+00,-3.28e-01, 
-1.61148e+00,-3.27e-01, 
-1.61075e+00,-3.27e-01, 
-1.61002e+00,-3.28e-01, 
-1.60929e+00,-3.29e-01, 
-1.60855e+00,-3.29e-01, 
-1.60782e+00,-3.29e-01, 
-1.60709e+00,-3.30e-01, 
-1.60636e+00,-3.30e-01, 
-1.60563e+00,-3.30e-01, 
-1.60489e+00,-3.30e-01, 
-1.60416e+00,-3.30e-01, 
-1.60343e+00,-3.30e-01, 
-1.60270e+00,-3.31e-01, 
-1.60196e+00,-3.31e-01, 
-1.60123e+00,-3.31e-01, 
-1.60050e+00,-3.31e-01, 
-1.59977e+00,-3.32e-01, 
-1.59903e+00,-3.32e-01, 
-1.59830e+00,-3.32e-01, 
-1.59757e+00,-3.32e-01, 
-1.59684e+00,-3.33e-01, 
-1.59610e+00,-3.33e-01, 
-1.59537e+00,-3.33e-01, 
-1.59464e+00,-3.33e-01, 
-1.59391e+00,-3.33e-01, 
-1.59317e+00,-3.34e-01, 
-1.59244e+00,-3.34e-01, 
-1.59171e+00,-3.34e-01, 
-1.59098e+00,-3.34e-01, 
-1.59024e+00,-3.34e-01, 
-1.58951e+00,-3.34e-01, 
-1.58878e+00,-3.34e-01, 
-1.58805e+00,-3.34e-01, 
-1.58731e+00,-3.34e-01, 
-1.58658e+00,-3.34e-01, 
-1.58585e+00,-3.35e-01, 
-1.58512e+00,-3.35e-01, 
-1.58438e+00,-3.34e-01, 
-1.58365e+00,-3.35e-01, 
-1.58292e+00,-3.35e-01, 
-1.58219e+00,-3.35e-01, 
-1.58146e+00,-3.35e-01, 
-1.58072e+00,-3.35e-01, 
-1.57999e+00,-3.35e-01, 
-1.57926e+00,-3.35e-01, 
-1.57853e+00,-3.35e-01, 
-1.57779e+00,-3.36e-01, 
-1.57706e+00,-3.35e-01, 
-1.57633e+00,-3.36e-01, 
-1.57560e+00,-3.36e-01, 
-1.57486e+00,-3.36e-01, 
-1.57413e+00,-3.36e-01, 
-1.57340e+00,-3.37e-01, 
-1.57267e+00,-3.36e-01, 
-1.57193e+00,-3.37e-01, 
-1.57120e+00,-3.37e-01, 
-1.57047e+00,-3.36e-01, 
-1.56974e+00,-3.37e-01, 
-1.56900e+00,-3.37e-01, 
-1.56827e+00,-3.37e-01, 
-1.56754e+00,-3.37e-01, 
-1.56681e+00,-3.37e-01, 
-1.56607e+00,-3.38e-01, 
-1.56534e+00,-3.37e-01, 
-1.56461e+00,-3.37e-01, 
-1.56388e+00,-3.38e-01, 
-1.56314e+00,-3.38e-01, 
-1.56241e+00,-3.38e-01, 
-1.56168e+00,-3.38e-01, 
-1.56095e+00,-3.38e-01, 
-1.56021e+00,-3.38e-01, 
-1.55948e+00,-3.37e-01, 
-1.55875e+00,-3.38e-01, 
-1.55802e+00,-3.38e-01, 
-1.55729e+00,-3.38e-01, 
-1.55655e+00,-3.38e-01, 
-1.55582e+00,-3.38e-01, 
-1.55509e+00,-3.38e-01, 
-1.55436e+00,-3.38e-01, 
-1.55362e+00,-3.38e-01, 
-1.55289e+00,-3.38e-01, 
-1.55216e+00,-3.38e-01, 
-1.55143e+00,-3.38e-01, 
-1.55069e+00,-3.38e-01, 
-1.54996e+00,-3.37e-01, 
-1.54923e+00,-3.38e-01, 
-1.54850e+00,-3.37e-01, 
-1.54776e+00,-3.37e-01, 
-1.54703e+00,-3.38e-01, 
-1.54630e+00,-3.38e-01, 
-1.54557e+00,-3.37e-01, 
-1.54483e+00,-3.37e-01, 
-1.54410e+00,-3.38e-01, 
-1.54337e+00,-3.36e-01, 
-1.54264e+00,-3.37e-01, 
-1.54190e+00,-3.36e-01, 
-1.54117e+00,-3.36e-01, 
-1.54044e+00,-3.36e-01, 
-1.53971e+00,-3.36e-01, 
-1.53897e+00,-3.35e-01, 
-1.53824e+00,-3.36e-01, 
-1.53751e+00,-3.36e-01, 
-1.53678e+00,-3.35e-01, 
-1.53604e+00,-3.35e-01, 
-1.53531e+00,-3.35e-01, 
-1.53458e+00,-3.35e-01, 
-1.53385e+00,-3.35e-01, 
-1.53312e+00,-3.35e-01, 
-1.53238e+00,-3.34e-01, 
-1.53165e+00,-3.34e-01, 
-1.53092e+00,-3.34e-01, 
-1.53019e+00,-3.34e-01, 
-1.52945e+00,-3.34e-01, 
-1.52872e+00,-3.34e-01, 
-1.52799e+00,-3.34e-01, 
-1.52726e+00,-3.33e-01, 
-1.52652e+00,-3.33e-01, 
-1.52579e+00,-3.33e-01, 
-1.52506e+00,-3.33e-01, 
-1.52433e+00,-3.33e-01, 
-1.52359e+00,-3.33e-01, 
-1.52286e+00,-3.33e-01, 
-1.52213e+00,-3.32e-01, 
-1.52140e+00,-3.32e-01, 
-1.52066e+00,-3.32e-01, 
-1.51993e+00,-3.32e-01, 
-1.51920e+00,-3.32e-01, 
-1.51847e+00,-3.31e-01, 
-1.51773e+00,-3.31e-01, 
-1.51700e+00,-3.31e-01, 
-1.51627e+00,-3.31e-01, 
-1.51554e+00,-3.30e-01, 
-1.51480e+00,-3.30e-01, 
-1.51407e+00,-3.30e-01, 
-1.51334e+00,-3.30e-01, 
-1.51261e+00,-3.30e-01, 
-1.51188e+00,-3.30e-01, 
-1.51114e+00,-3.30e-01, 
-1.51041e+00,-3.30e-01, 
-1.50968e+00,-3.30e-01, 
-1.50895e+00,-3.30e-01, 
-1.50821e+00,-3.30e-01, 
-1.50748e+00,-3.30e-01, 
-1.50675e+00,-3.30e-01, 
-1.50602e+00,-3.29e-01, 
-1.50528e+00,-3.30e-01, 
-1.50455e+00,-3.29e-01, 
-1.50382e+00,-3.29e-01, 
-1.50309e+00,-3.29e-01, 
-1.50235e+00,-3.28e-01, 
-1.50162e+00,-3.28e-01, 
-1.50089e+00,-3.28e-01, 
-1.50016e+00,-3.28e-01, 
-1.49942e+00,-3.27e-01, 
-1.49869e+00,-3.27e-01, 
-1.49796e+00,-3.27e-01, 
-1.49723e+00,-3.27e-01, 
-1.49649e+00,-3.27e-01, 
-1.49576e+00,-3.27e-01, 
-1.49503e+00,-3.27e-01, 
-1.49430e+00,-3.26e-01, 
-1.49356e+00,-3.26e-01, 
-1.49283e+00,-3.26e-01, 
-1.49210e+00,-3.25e-01, 
-1.49137e+00,-3.24e-01, 
-1.49063e+00,-3.24e-01, 
-1.48990e+00,-3.24e-01, 
-1.48917e+00,-3.24e-01, 
-1.48844e+00,-3.24e-01, 
-1.48771e+00,-3.23e-01, 
-1.48697e+00,-3.22e-01, 
-1.48624e+00,-3.23e-01, 
-1.48551e+00,-3.22e-01, 
-1.48478e+00,-3.22e-01, 
-1.48404e+00,-3.22e-01, 
-1.48331e+00,-3.21e-01, 
-1.48258e+00,-3.21e-01, 
-1.48185e+00,-3.21e-01, 
-1.48111e+00,-3.20e-01, 
-1.48038e+00,-3.20e-01, 
-1.47965e+00,-3.20e-01, 
-1.47892e+00,-3.19e-01, 
-1.47818e+00,-3.20e-01, 
-1.47745e+00,-3.18e-01, 
-1.47672e+00,-3.18e-01, 
-1.47599e+00,-3.18e-01, 
-1.47525e+00,-3.19e-01, 
-1.47452e+00,-3.19e-01, 
-1.47379e+00,-3.20e-01, 
-1.47306e+00,-3.18e-01, 
-1.47232e+00,-3.19e-01, 
-1.47159e+00,-3.19e-01, 
-1.47086e+00,-3.19e-01, 
-1.47013e+00,-3.19e-01, 
-1.46939e+00,-3.19e-01, 
-1.46866e+00,-3.20e-01, 
-1.46793e+00,-3.20e-01, 
-1.46720e+00,-3.20e-01, 
-1.46646e+00,-3.19e-01, 
-1.46573e+00,-3.19e-01, 
-1.46500e+00,-3.20e-01, 
-1.46427e+00,-3.20e-01, 
-1.46354e+00,-3.19e-01, 
-1.46280e+00,-3.18e-01, 
-1.46207e+00,-3.18e-01, 
-1.46134e+00,-3.18e-01, 
-1.46061e+00,-3.18e-01, 
-1.45987e+00,-3.18e-01, 
-1.45914e+00,-3.17e-01, 
-1.45841e+00,-3.17e-01, 
-1.45768e+00,-3.17e-01, 
-1.45694e+00,-3.16e-01, 
-1.45621e+00,-3.15e-01, 
-1.45548e+00,-3.14e-01, 
-1.45475e+00,-3.14e-01, 
-1.45401e+00,-3.14e-01, 
-1.45328e+00,-3.13e-01, 
-1.45255e+00,-3.13e-01, 
-1.45182e+00,-3.12e-01, 
-1.45108e+00,-3.10e-01, 
-1.45035e+00,-3.10e-01, 
-1.44962e+00,-3.09e-01, 
-1.44889e+00,-3.09e-01, 
-1.44815e+00,-3.07e-01, 
-1.44742e+00,-3.07e-01, 
-1.44669e+00,-3.07e-01, 
-1.44596e+00,-3.06e-01, 
-1.44522e+00,-3.04e-01, 
-1.44449e+00,-3.04e-01, 
-1.44376e+00,-3.04e-01, 
-1.44303e+00,-3.03e-01, 
-1.44229e+00,-3.03e-01, 
-1.44156e+00,-3.04e-01, 
-1.44083e+00,-3.03e-01, 
-1.44010e+00,-3.02e-01, 
-1.43937e+00,-3.02e-01, 
-1.43863e+00,-3.02e-01, 
-1.43790e+00,-3.03e-01, 
-1.43717e+00,-3.02e-01, 
-1.43644e+00,-3.02e-01, 
-1.43570e+00,-3.02e-01, 
-1.43497e+00,-3.02e-01, 
-1.43424e+00,-3.01e-01, 
-1.43351e+00,-3.02e-01, 
-1.43277e+00,-3.02e-01, 
-1.43204e+00,-3.02e-01, 
-1.43131e+00,-3.02e-01, 
-1.43058e+00,-3.02e-01, 
-1.42984e+00,-3.01e-01, 
-1.42911e+00,-3.01e-01, 
-1.42838e+00,-3.01e-01, 
-1.42765e+00,-3.01e-01, 
-1.42691e+00,-3.00e-01, 
-1.42618e+00,-3.00e-01, 
-1.42545e+00,-2.98e-01, 
-1.42472e+00,-2.98e-01, 
-1.42398e+00,-2.98e-01, 
-1.42325e+00,-2.98e-01, 
-1.42252e+00,-2.98e-01, 
-1.42179e+00,-2.98e-01, 
-1.42105e+00,-2.97e-01, 
-1.42032e+00,-2.96e-01, 
-1.41959e+00,-2.95e-01, 
-1.41886e+00,-2.96e-01, 
-1.41813e+00,-2.95e-01, 
-1.41739e+00,-2.95e-01, 
-1.41666e+00,-2.95e-01, 
-1.41593e+00,-2.94e-01, 
-1.41520e+00,-2.94e-01, 
-1.41446e+00,-2.94e-01, 
-1.41373e+00,-2.94e-01, 
-1.41300e+00,-2.94e-01, 
-1.41227e+00,-2.94e-01, 
-1.41153e+00,-2.94e-01, 
-1.41080e+00,-2.94e-01, 
-1.41007e+00,-2.94e-01, 
-1.40934e+00,-2.94e-01, 
-1.40860e+00,-2.94e-01, 
-1.40787e+00,-2.94e-01, 
-1.40714e+00,-2.94e-01, 
-1.40641e+00,-2.94e-01, 
-1.40567e+00,-2.94e-01, 
-1.40494e+00,-2.94e-01, 
-1.40421e+00,-2.94e-01, 
-1.40348e+00,-2.94e-01, 
-1.40274e+00,-2.94e-01, 
-1.40201e+00,-2.94e-01, 
-1.40128e+00,-2.94e-01, 
-1.40055e+00,-2.94e-01, 
-1.39981e+00,-2.94e-01, 
-1.39908e+00,-2.94e-01, 
-1.39835e+00,-2.94e-01, 
-1.39762e+00,-2.94e-01, 
-1.39688e+00,-2.94e-01, 
-1.39615e+00,-2.95e-01, 
-1.39542e+00,-2.94e-01, 
-1.39469e+00,-2.94e-01, 
-1.39396e+00,-2.94e-01, 
-1.39322e+00,-2.94e-01, 
-1.39249e+00,-2.95e-01, 
-1.39176e+00,-2.95e-01, 
-1.39103e+00,-2.95e-01, 
-1.39029e+00,-2.95e-01, 
-1.38956e+00,-2.94e-01, 
-1.38883e+00,-2.95e-01, 
-1.38810e+00,-2.95e-01, 
-1.38736e+00,-2.95e-01, 
-1.38663e+00,-2.96e-01, 
-1.38590e+00,-2.97e-01, 
-1.38517e+00,-2.96e-01, 
-1.38443e+00,-2.97e-01, 
-1.38370e+00,-2.97e-01, 
-1.38297e+00,-2.98e-01, 
-1.38224e+00,-2.98e-01, 
-1.38150e+00,-2.98e-01, 
-1.38077e+00,-2.98e-01, 
-1.38004e+00,-2.99e-01, 
-1.37931e+00,-3.00e-01, 
-1.37857e+00,-2.98e-01, 
-1.37784e+00,-3.00e-01, 
-1.37711e+00,-3.00e-01, 
-1.37638e+00,-3.00e-01, 
-1.37564e+00,-3.00e-01, 
-1.37491e+00,-3.01e-01, 
-1.37418e+00,-3.01e-01, 
-1.37345e+00,-3.01e-01, 
-1.37271e+00,-3.01e-01, 
-1.37198e+00,-3.02e-01, 
-1.37125e+00,-3.02e-01, 
-1.37052e+00,-3.02e-01, 
-1.36979e+00,-3.02e-01, 
-1.36905e+00,-3.02e-01, 
-1.36832e+00,-3.02e-01, 
-1.36759e+00,-3.03e-01, 
-1.36686e+00,-3.02e-01, 
-1.36612e+00,-3.02e-01, 
-1.36539e+00,-3.03e-01, 
-1.36466e+00,-3.03e-01, 
-1.36393e+00,-3.04e-01, 
-1.36319e+00,-3.04e-01, 
-1.36246e+00,-3.04e-01, 
-1.36173e+00,-3.05e-01, 
-1.36100e+00,-3.05e-01, 
-1.36026e+00,-3.05e-01, 
-1.35953e+00,-3.06e-01, 
-1.35880e+00,-3.06e-01, 
-1.35807e+00,-3.07e-01, 
-1.35733e+00,-3.07e-01, 
-1.35660e+00,-3.07e-01, 
-1.35587e+00,-3.07e-01, 
-1.35514e+00,-3.08e-01, 
-1.35440e+00,-3.08e-01, 
-1.35367e+00,-3.09e-01, 
-1.35294e+00,-3.10e-01, 
-1.35221e+00,-3.10e-01, 
-1.35147e+00,-3.10e-01, 
-1.35074e+00,-3.10e-01, 
-1.35001e+00,-3.10e-01, 
-1.34928e+00,-3.11e-01, 
-1.34854e+00,-3.12e-01, 
-1.34781e+00,-3.12e-01, 
-1.34708e+00,-3.13e-01, 
-1.34635e+00,-3.13e-01, 
-1.34562e+00,-3.13e-01, 
-1.34488e+00,-3.14e-01, 
-1.34415e+00,-3.13e-01, 
-1.34342e+00,-3.14e-01, 
-1.34269e+00,-3.14e-01, 
-1.34195e+00,-3.14e-01, 
-1.34122e+00,-3.14e-01, 
-1.34049e+00,-3.14e-01, 
-1.33976e+00,-3.14e-01, 
-1.33902e+00,-3.15e-01, 
-1.33829e+00,-3.14e-01, 
-1.33756e+00,-3.14e-01, 
-1.33683e+00,-3.14e-01, 
