,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-6.00000e-01,-9.54e+00,1.56e-01,-3.14e-01,-9.42e+00, 
-5.99707e-01,-9.54e+00,1.56e-01,-3.14e-01,-9.42e+00, 
-5.99414e-01,-9.54e+00,1.56e-01,-3.14e-01,-9.42e+00, 
-5.99121e-01,-9.54e+00,1.56e-01,-3.14e-01,-9.42e+00, 
-5.98828e-01,-9.54e+00,1.56e-01,-3.14e-01,-9.42e+00, 
-5.98535e-01,-9.56e+00,1.56e-01,-3.14e-01,-9.42e+00, 
-5.98242e-01,-9.54e+00,1.56e-01,-3.15e-01,-9.44e+00, 
-5.97949e-01,-9.54e+00,1.56e-01,-3.14e-01,-9.44e+00, 
-5.97656e-01,-9.54e+00,1.56e-01,-3.16e-01,-9.44e+00, 
-5.97363e-01,-9.54e+00,1.56e-01,-3.16e-01,-9.42e+00, 
-5.97070e-01,-9.54e+00,1.58e-01,-3.17e-01,-9.44e+00, 
-5.96777e-01,-9.52e+00,1.58e-01,-3.18e-01,-9.42e+00, 
-5.96484e-01,-9.56e+00,1.58e-01,-3.18e-01,-9.44e+00, 
-5.96191e-01,-9.52e+00,1.58e-01,-3.18e-01,-9.42e+00, 
-5.95899e-01,-9.54e+00,1.58e-01,-3.19e-01,-9.42e+00, 
-5.95605e-01,-9.54e+00,1.58e-01,-3.19e-01,-9.42e+00, 
-5.95312e-01,-9.52e+00,1.58e-01,-3.20e-01,-9.42e+00, 
-5.95020e-01,-9.52e+00,1.60e-01,-3.20e-01,-9.42e+00, 
-5.94727e-01,-9.54e+00,1.58e-01,-3.21e-01,-9.44e+00, 
-5.94434e-01,-9.54e+00,1.58e-01,-3.22e-01,-9.44e+00, 
-5.94141e-01,-9.52e+00,1.58e-01,-3.22e-01,-9.42e+00, 
-5.93848e-01,-9.54e+00,1.60e-01,-3.22e-01,-9.44e+00, 
-5.93555e-01,-9.52e+00,1.58e-01,-3.23e-01,-9.42e+00, 
-5.93262e-01,-9.52e+00,1.60e-01,-3.23e-01,-9.42e+00, 
-5.92969e-01,-9.54e+00,1.60e-01,-3.23e-01,-9.44e+00, 
-5.92676e-01,-9.56e+00,1.60e-01,-3.24e-01,-9.44e+00, 
-5.92383e-01,-9.52e+00,1.60e-01,-3.24e-01,-9.40e+00, 
-5.92090e-01,-9.54e+00,1.60e-01,-3.25e-01,-9.42e+00, 
-5.91797e-01,-9.54e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.91504e-01,-9.54e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.91211e-01,-9.52e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.90918e-01,-9.54e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.90625e-01,-9.54e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.90332e-01,-9.52e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.90039e-01,-9.54e+00,1.60e-01,-3.26e-01,-9.44e+00, 
-5.89746e-01,-9.56e+00,1.60e-01,-3.27e-01,-9.44e+00, 
-5.89453e-01,-9.52e+00,1.60e-01,-3.27e-01,-9.42e+00, 
-5.89160e-01,-9.54e+00,1.60e-01,-3.28e-01,-9.44e+00, 
-5.88867e-01,-9.54e+00,1.60e-01,-3.28e-01,-9.44e+00, 
-5.88574e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.88281e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.44e+00, 
-5.87988e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.87695e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.87402e-01,-9.52e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.87109e-01,-9.52e+00,1.60e-01,-3.29e-01,-9.40e+00, 
-5.86816e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.86523e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.44e+00, 
-5.86231e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.85938e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.40e+00, 
-5.85645e-01,-9.54e+00,1.60e-01,-3.29e-01,-9.42e+00, 
-5.85352e-01,-9.54e+00,1.60e-01,-3.30e-01,-9.42e+00, 
